time_days,layer,i,j,pressure_psia,sw,sg
0.000000,3,3,7,4800.296272,0.200000,0.000000
0.000000,3,4,7,4800.296272,0.200000,0.000000
0.000000,3,5,7,4800.296272,0.200000,0.000000
0.000000,3,6,7,4800.296272,0.200000,0.000000
0.000000,3,7,7,4800.296272,0.200000,0.000000
0.000000,3,8,7,4800.296272,0.200000,0.000000
0.000000,3,9,7,4800.296272,0.200000,0.000000
0.000000,3,10,7,4800.296272,0.200000,0.000000
0.000000,3,1,8,4800.296272,0.200000,0.000000
0.000000,3,2,8,4800.296272,0.200000,0.000000
0.000000,3,3,8,4800.296272,0.200000,0.000000
0.000000,3,4,8,4800.296272,0.200000,0.000000
0.000000,3,5,8,4800.296272,0.200000,0.000000
0.000000,3,6,8,4800.296272,0.200000,0.000000
0.000000,3,7,8,4800.296272,0.200000,0.000000
0.000000,3,8,8,4800.296272,0.200000,0.000000
0.000000,3,9,8,4800.296272,0.200000,0.000000
0.000000,3,10,8,4800.296272,0.200000,0.000000
0.000000,3,1,9,4800.296272,0.200000,0.000000
0.000000,3,2,9,4800.296272,0.200000,0.000000
0.000000,3,3,9,4800.296272,0.200000,0.000000
0.000000,3,4,9,4800.296272,0.200000,0.000000
0.000000,3,5,9,4800.296272,0.200000,0.000000
0.000000,3,6,9,4800.296272,0.200000,0.000000
0.000000,3,7,9,4800.296272,0.200000,0.000000
0.000000,3,8,9,4800.296272,0.200000,0.000000
0.000000,3,9,9,4800.296272,0.200000,0.000000
0.000000,3,10,9,4800.296272,0.200000,0.000000
0.000000,3,1,10,4800.296272,0.200000,0.000000
0.000000,3,2,10,4800.296272,0.200000,0.000000
0.000000,3,3,10,4800.296272,0.200000,0.000000
0.000000,3,4,10,4800.296272,0.200000,0.000000
0.000000,3,5,10,4800.296272,0.200000,0.000000
0.000000,3,6,10,4800.296272,0.200000,0.000000
0.000000,3,7,10,4800.296272,0.200000,0.000000
0.000000,3,8,10,4800.296272,0.200000,0.000000
0.000000,3,9,10,4800.296272,0.200000,0.000000
0.000000,3,10,10,4800.296272,0.200000,0.000000
0.100000,1,1,1,4783.997788,0.200000,0.000006
0.100000,1,2,1,4783.912755,0.200000,0.000000
0.100000,1,3,1,4783.908845,0.200000,0.000000
0.100000,1,4,1,4783.908654,0.200000,0.000000
0.100000,1,5,1,4783.908645,0.200000,0.000000
0.100000,1,6,1,4783.908645,0.200000,0.000000
0.100000,1,7,1,4783.908644,0.200000,0.000000
0.100000,1,8,1,4783.908649,0.200000,0.000000
0.100000,1,9,1,4783.908639,0.200000,0.000000
0.100000,1,10,1,4783.908651,0.200000,0.000000
0.100000,1,1,2,4783.912755,0.200000,0.000000
0.100000,1,2,2,4783.909037,0.200000,0.000000
0.100000,1,3,2,4783.908685,0.200000,0.000000
0.100000,1,4,2,4783.908656,0.200000,0.000000
0.100000,1,5,2,4783.908651,0.200000,0.000000
0.100000,1,6,2,4783.908645,0.200000,0.000000
0.100000,1,7,2,4783.908657,0.200000,0.000000
0.100000,1,8,2,4783.908617,0.200000,0.000000
0.100000,1,9,2,4783.908692,0.200000,0.000000
0.100000,1,10,2,4783.908617,0.200000,0.000000
0.100000,1,1,3,4783.908845,0.200000,0.000000
0.100000,1,2,3,4783.908685,0.200000,0.000000
0.100000,1,3,3,4783.908666,0.200000,0.000000
0.100000,1,4,3,4783.908660,0.200000,0.000000
0.100000,1,5,3,4783.908649,0.200000,0.000000
0.100000,1,6,3,4783.908670,0.200000,0.000000
